Country Name,Country Code,gdp,exp,pop
Singapore,SGP,66081.71992351646,83.59512195121953,5703569
Solomon Islands,SLB,2223.6650255956515,69.981,728147
Sierra Leone,SLE,843.7125173041702,59.593,7731991
El Salvador,SLV,4320.116715346275,71.725,6222318
San Marino,SMR,46627.01223569437,85.257,34663
Somalia,SOM,539.8939315654676,57.249,16030971
Serbia,SRB,7755.632986436999,75.93658536585367,6945235
Sub-Saharan Africa (excluding high income),SSA,1610.1714204081231,61.12821492173264,1139217993
South Sudan,SSD,NA,58.129,10423384
Sub-Saharan Africa,SSF,1611.6736354965306,61.12932184248726,1139315618
Small states,SST,12739.838874247844,72.58873082917046,19408893
Sao Tome and Principe,STP,1935.2931816595997,68.043,213392
Suriname,SUR,6629.667752486033,71.773,605768
Slovak Republic,SVK,19406.058968358197,77.66585365853659,5454147
Slovenia,SVN,25814.168716757213,81.52926829268293,2088385
Sweden,SWE,51773.04645589933,83.10975609756099,10278887
Eswatini,SWZ,3894.3295159281765,59.85,1179874
Sint Maarten (Dutch part),SXM,34861.46952896804,75.68,40385
Seychelles,SYC,19141.5118743615,74.04634146341465,97625
Syrian Arab Republic,SYR,1109.539260360489,70.97,20353534
Turks and Caicos Islands,TCA,27273.43769923574,77.691,43166
Chad,TCD,678.1420357239653,52.993,16685223
East Asia & Pacific (IDA & IBRD countries),TEA,8245.101610712161,75.80428772345341,2086281644
Europe & Central Asia (IDA & IBRD countries),TEC,9027.50709505223,74.59434833883986,462573906
Togo,TGO,826.2606540998936,61.055,8463068
Thailand,THA,7605.696577977591,77.197,71522271
Tajikistan,TJK,871.0223729348457,70.962,9529966
Turkmenistan,TKM,6648.034896062804,69.405,6803944
Latin America & the Caribbean (IDA & IBRD countries),TLA,8654.862094658181,75.13197114934418,625467307
Timor-Leste,TLS,1562.3645888181284,66.496,1300945
Middle East & North Africa (IDA & IBRD countries),TMN,3593.3866674738547,73.1414674254334,407148671
Tonga,TON,4676.847903482357,72.292,105669
South Asia (IDA & IBRD),TSA,1952.0134008459765,70.30912580297282,1874070006
Sub-Saharan Africa (IDA & IBRD countries),TSS,1611.67363549653,61.12932184248725,1139315618
Trinidad and Tobago,TTO,17431.02692666962,72.836,1363985
Tunisia,TUN,3528.8721330679796,75.599,11875081
Turkiye,TUR,9215.440498881144,77.737,82579440
Tuvalu,TUV,5115.130759502061,66.109,10581
Tanzania,TZA,1063.32250976563,66.007,59174891
Uganda,UGA,822.0570581891529,66.354,42999637
Ukraine,UKR,3619.86157226563,73.92,44957458
Upper middle income,UMC,8551.4409621973009,76.02578891221121,2777172392
Uruguay,URY,18315.73528571944,77.503,3397206
United States,USA,65604.6815198734,78.78780487804877,328329953
Uzbekistan,UZB,2041.384807294311,72.093,32964701
St. Vincent and the Grenadines,VCT,8743.332021337532,70.994,104167
"Venezuela, RB",VEN,NA,72.766,28938098
British Virgin Islands,VGB,NA,76.845,36395
Virgin Islands (U.S.),VIR,38633.529891533624,79.66829268292683,106669
Viet Nam,VNM,3440.9002537543365,74.211,97173776
Vanuatu,VUT,3207.4465045208253,70.783,291985
World,WLD,11334.8430932207,72.86766903653674,7776892015
Samoa,WSM,4351.942349437056,70.269,209780
Kosovo,XKX,4415.997161075136,77.249,1788891
"Yemen, Rep.",YEM,623.376164898164,66.567,35111408
South Africa,ZAF,6533.711210328561,66.071,59587885
Zambia,ZMB,1258.9861984446204,62.914,18513839
Zimbabwe,ZWE,1684.027903881821,61.06,15271368
